total,wins,losses,win_rate_pct,profit_factor,net_pnl_usdt,gross_profit,gross_loss,avg_win,avg_loss,long_trades,short_trades,long_pnl,short_pnl,exits_target,exits_sl,exits_t1,exits_eod,htf_min,sub_min,sl_buf,profit_floor_pts,profit_cap_pts,lots
76,36,40,47.4,1.687,5.444,13.3706,7.9266,0.3714,0.1982,61,15,4.9565,0.4875,18,52,6,0,180,60,300,0,500,1
76,34,42,44.7,1.655,5.0077,12.6516,7.6439,0.3721,0.182,61,15,4.4304,0.5773,17,53,6,0,180,60,300,200,500,1
60,28,32,46.7,1.607,3.2955,8.726,5.4305,0.3116,0.1697,37,23,3.0505,0.245,0,54,6,0,360,15,300,200,0,1
60,28,32,46.7,1.607,3.2955,8.726,5.4305,0.3116,0.1697,37,23,3.0505,0.245,0,54,6,0,360,15,300,200,1000,1
76,27,49,35.5,1.585,3.5421,9.5926,6.0505,0.3553,0.1235,61,15,2.5738,0.9683,12,58,6,0,180,60,300,100,500,1
60,28,32,46.7,1.539,2.926,8.3565,5.4305,0.2984,0.1697,37,23,2.9995,-0.0735,11,47,2,0,360,15,300,200,500,1
60,30,30,50.0,1.538,3.2034,9.1632,5.9598,0.3054,0.1987,37,23,3.0935,0.1099,0,54,6,0,360,15,300,0,0,1
60,30,30,50.0,1.538,3.2034,9.1632,5.9598,0.3054,0.1987,37,23,3.0935,0.1099,0,54,6,0,360,15,300,0,1000,1
60,30,30,50.0,1.487,2.9014,8.8612,5.9598,0.2954,0.1987,37,23,3.11,-0.2086,12,46,2,0,360,15,300,0,500,1
76,28,48,36.8,1.399,2.4129,8.4634,6.0505,0.3023,0.1261,61,15,1.3921,1.0208,25,50,1,0,180,60,300,100,300,1
64,32,32,50.0,1.389,2.8059,10.026,7.2201,0.3133,0.2256,42,22,3.2592,-0.4533,13,49,2,0,240,60,300,0,500,1
76,36,40,47.4,1.374,3.0313,11.1268,8.0955,0.3091,0.2024,61,15,2.4913,0.54,33,42,1,0,180,60,300,0,300,1
64,30,34,46.9,1.369,2.5442,9.4405,6.8963,0.3147,0.2028,42,22,2.8803,-0.3361,12,50,2,0,240,60,300,200,500,1
61,26,35,42.6,1.344,2.0489,8.0037,5.9548,0.3078,0.1701,37,24,1.9164,0.1325,25,36,0,0,360,15,300,200,300,1
76,33,43,43.4,1.303,2.3697,10.1825,7.8128,0.3086,0.1817,61,15,1.7399,0.6298,30,45,1,0,180,60,300,200,300,1
64,32,32,50.0,1.303,2.1899,9.41,7.2201,0.2941,0.2256,42,22,2.9412,-0.7513,0,58,6,0,240,60,300,0,0,1
64,32,32,50.0,1.303,2.1899,9.41,7.2201,0.2941,0.2256,42,22,2.9412,-0.7513,0,58,6,0,240,60,300,0,1000,1
76,35,41,46.1,1.288,2.3961,10.7044,8.3083,0.3058,0.2026,61,15,1.8711,0.525,0,65,11,0,180,60,300,0,0,1
76,35,41,46.1,1.288,2.3961,10.7044,8.3083,0.3058,0.2026,61,15,1.8711,0.525,0,65,11,0,180,60,300,0,1000,1
60,24,36,40.0,1.285,1.7491,7.8932,6.1441,0.3289,0.1707,40,20,1.8405,-0.0914,0,55,5,0,360,5,300,200,0,1
60,24,36,40.0,1.285,1.7491,7.8932,6.1441,0.3289,0.1707,40,20,1.8405,-0.0914,0,55,5,0,360,5,300,200,1000,1
61,28,33,45.9,1.284,1.8456,8.3434,6.4978,0.298,0.1969,37,24,1.8482,-0.0026,26,35,0,0,360,15,300,0,300,1
74,35,39,47.3,1.279,2.2326,10.2318,7.9992,0.2923,0.2051,54,20,1.5296,0.703,31,42,1,0,240,15,300,200,300,1
60,21,39,35.0,1.278,1.4508,6.6744,5.2236,0.3178,0.1339,37,23,2.6979,-1.2471,0,56,4,0,360,15,300,100,0,1
60,21,39,35.0,1.278,1.4508,6.6744,5.2236,0.3178,0.1339,37,23,2.6979,-1.2471,0,56,4,0,360,15,300,100,1000,1
41,18,23,43.9,1.278,1.1418,5.2563,4.1145,0.292,0.1789,25,16,2.1869,-1.0451,16,25,0,0,360,60,300,200,300,1
64,29,35,45.3,1.271,1.9306,9.0677,7.1371,0.3127,0.2039,42,22,2.0232,-0.0926,28,36,0,0,240,60,300,200,300,1
64,30,34,46.9,1.259,1.7842,8.6805,6.8963,0.2893,0.2028,42,22,2.4183,-0.6341,0,59,5,0,240,60,300,200,0,1
64,30,34,46.9,1.259,1.7842,8.6805,6.8963,0.2893,0.2028,42,22,2.4183,-0.6341,0,59,5,0,240,60,300,200,1000,1
51,22,29,43.1,1.258,1.3296,6.4758,5.1462,0.2944,0.1775,29,22,1.3728,-0.0432,0,46,5,0,360,30,300,200,0,1
51,22,29,43.1,1.258,1.3296,6.4758,5.1462,0.2944,0.1775,29,22,1.3728,-0.0432,0,46,5,0,360,30,300,200,1000,1
64,31,33,48.4,1.257,1.9198,9.3807,7.4609,0.3026,0.2261,42,22,2.1296,-0.2098,29,35,0,0,240,60,300,0,300,1
52,23,29,44.2,1.257,1.3719,6.7026,5.3307,0.2914,0.1838,29,23,0.8513,0.5206,21,31,0,0,360,30,300,200,300,1
41,20,21,48.8,1.256,1.1409,5.596,4.4551,0.2798,0.2121,25,16,2.1823,-1.0414,17,24,0,0,360,60,300,0,300,1
79,33,46,41.8,1.25,2.3399,11.6845,9.3446,0.3541,0.2031,70,9,2.1386,0.2013,14,56,9,0,180,30,300,200,500,1
60,21,39,35.0,1.242,1.2623,6.4859,5.2236,0.3089,0.1339,37,23,2.4174,-1.1551,9,50,1,0,360,15,300,100,500,1
61,24,37,39.3,1.24,1.4305,7.3957,5.9652,0.3082,0.1612,40,21,1.5468,-0.1163,23,38,0,0,360,5,300,200,300,1
60,26,34,43.3,1.238,1.6014,8.3304,6.729,0.3204,0.1979,40,20,1.8279,-0.2265,0,55,5,0,360,5,300,0,0,1
60,26,34,43.3,1.238,1.6014,8.3304,6.729,0.3204,0.1979,40,20,1.8279,-0.2265,0,55,5,0,360,5,300,0,1000,1
74,36,38,48.6,1.236,1.9558,10.2355,8.2797,0.2843,0.2179,54,20,1.3003,0.6555,31,42,1,0,240,15,300,0,300,1
76,33,43,43.4,1.226,1.8158,9.8414,8.0256,0.2982,0.1866,61,15,1.201,0.6148,0,66,10,0,180,60,300,200,0,1
76,33,43,43.4,1.226,1.8158,9.8414,8.0256,0.2982,0.1866,61,15,1.201,0.6148,0,66,10,0,180,60,300,200,1000,1
79,34,45,43.0,1.222,2.1503,11.8242,9.6739,0.3478,0.215,70,9,1.949,0.2013,14,56,9,0,180,30,300,0,500,1
60,24,36,40.0,1.203,1.2471,7.3912,6.1441,0.308,0.1707,40,20,1.657,-0.4099,10,48,2,0,360,5,300,200,500,1
74,33,41,44.6,1.188,1.6061,10.1481,8.542,0.3075,0.2083,54,20,1.3811,0.225,14,58,2,0,240,15,300,200,500,1
61,26,35,42.6,1.178,1.1716,7.7354,6.5638,0.2975,0.1875,40,21,1.423,-0.2514,24,37,0,0,360,5,300,0,300,1
60,26,34,43.3,1.173,1.1669,7.8959,6.729,0.3037,0.1979,40,20,1.7119,-0.545,11,47,2,0,360,5,300,0,500,1
52,24,28,46.2,1.166,0.953,6.7063,5.7533,0.2794,0.2055,29,23,0.5107,0.4423,21,31,0,0,360,30,300,0,300,1
51,23,28,45.1,1.164,0.9107,6.4795,5.5688,0.2817,0.1989,29,22,1.0322,-0.1215,0,46,5,0,360,30,300,0,0,1
51,23,28,45.1,1.164,0.9107,6.4795,5.5688,0.2817,0.1989,29,22,1.0322,-0.1215,0,46,5,0,360,30,300,0,1000,1
76,32,44,42.1,1.161,1.0121,7.2946,6.2825,0.228,0.1428,60,16,0.4789,0.5332,6,66,4,0,180,60,200,0,500,1
76,32,44,42.1,1.161,1.0121,7.2946,6.2825,0.228,0.1428,60,16,0.4789,0.5332,6,66,4,0,180,60,200,200,500,1
51,22,29,43.1,1.154,0.7916,5.9378,5.1462,0.2699,0.1775,29,22,1.2453,-0.4537,7,42,2,0,360,30,300,200,500,1
74,34,40,45.9,1.151,1.3293,10.1518,8.8225,0.2986,0.2206,54,20,1.1518,0.1775,14,58,2,0,240,15,300,0,500,1
76,26,50,34.2,1.138,0.8867,7.3189,6.4322,0.2815,0.1286,61,15,-0.1191,1.0058,0,67,9,0,180,60,300,100,0,1
76,26,50,34.2,1.138,0.8867,7.3189,6.4322,0.2815,0.1286,61,15,-0.1191,1.0058,0,67,9,0,180,60,300,100,1000,1
77,33,44,42.9,1.137,1.1595,9.6422,8.4827,0.2922,0.1928,58,19,0.5746,0.5849,29,48,0,0,240,5,300,200,300,1
69,30,39,43.5,1.131,1.0512,9.0742,8.023,0.3025,0.2057,48,21,0.2848,0.7664,28,41,0,0,240,30,300,200,300,1
76,33,43,43.4,1.124,0.7856,7.1363,6.3507,0.2163,0.1477,61,15,0.2706,0.515,19,56,1,0,180,60,200,0,300,1
76,33,43,43.4,1.124,0.7856,7.1363,6.3507,0.2163,0.1477,61,15,0.2706,0.515,19,56,1,0,180,60,200,200,300,1
77,35,42,45.5,1.118,1.0512,9.9552,8.904,0.2844,0.212,58,19,0.5138,0.5374,30,47,0,0,240,5,300,0,300,1
76,29,47,38.2,1.107,0.6253,6.4533,5.828,0.2225,0.124,61,15,-0.0205,0.6458,17,58,1,0,180,60,200,100,300,1
61,20,41,32.8,1.106,0.5905,6.1416,5.5511,0.3071,0.1354,37,24,1.7616,-1.1711,19,42,0,0,360,15,300,100,300,1
77,34,43,44.2,1.099,0.9199,10.216,9.2961,0.3005,0.2162,58,19,1.1586,-0.2387,14,62,1,0,240,5,300,0,500,1
83,34,49,41.0,1.097,0.9957,11.2216,10.2259,0.33,0.2087,70,13,1.7696,-0.7739,14,62,7,0,120,60,300,0,500,1
80,30,50,37.5,1.097,0.9817,11.1166,10.1349,0.3706,0.2027,73,7,2.3815,-1.3998,13,58,9,0,180,15,300,200,500,1
69,31,38,44.9,1.094,0.782,9.0779,8.2959,0.2928,0.2183,48,21,0.0631,0.7189,28,41,0,0,240,30,300,0,300,1
80,35,45,43.8,1.091,0.8658,10.3281,9.4623,0.2951,0.2103,70,10,0.734,0.1318,31,48,1,0,180,30,300,0,300,1
40,19,21,47.5,1.088,0.3772,4.6783,4.3011,0.2462,0.2048,24,16,2.3771,-1.9999,0,37,3,0,360,60,300,0,0,1
40,19,21,47.5,1.088,0.3772,4.6783,4.3011,0.2462,0.2048,24,16,2.3771,-1.9999,0,37,3,0,360,60,300,0,1000,1
68,29,39,42.6,1.087,0.7175,8.9217,8.2042,0.3076,0.2104,48,20,0.5063,0.2112,11,54,3,0,240,30,300,200,500,1
77,32,45,41.6,1.085,0.7557,9.6305,8.8748,0.301,0.1972,58,19,0.9469,-0.1912,13,63,1,0,240,5,300,200,500,1
74,26,48,35.1,1.078,0.5417,7.5198,6.9781,0.2892,0.1454,54,20,0.6111,-0.0694,23,51,0,0,240,15,300,100,300,1
76,28,48,36.8,1.075,0.4249,6.1236,5.6987,0.2187,0.1187,60,16,-0.2559,0.6808,4,68,4,0,180,60,200,100,500,1
80,31,49,38.8,1.073,0.7663,11.2563,10.49,0.3631,0.2141,73,7,2.1661,-1.3998,13,58,9,0,180,15,300,0,500,1
40,17,23,42.5,1.071,0.2806,4.2411,3.9605,0.2495,0.1722,24,16,2.2842,-2.0036,0,37,3,0,360,60,300,200,0,1
40,17,23,42.5,1.071,0.2806,4.2411,3.9605,0.2495,0.1722,24,16,2.2842,-2.0036,0,37,3,0,360,60,300,200,1000,1
74,33,41,44.6,1.07,0.5941,9.1361,8.542,0.2769,0.2083,54,20,0.4161,0.178,0,68,5,1,240,15,300,200,0,1
74,33,41,44.6,1.07,0.5941,9.1361,8.542,0.2769,0.2083,54,20,0.4161,0.178,0,68,5,1,240,15,300,200,1000,1
51,23,28,45.1,1.067,0.3727,5.9415,5.5688,0.2583,0.1989,29,22,0.9047,-0.532,7,42,2,0,360,30,300,0,500,1
80,33,47,41.2,1.066,0.5957,9.6867,9.091,0.2935,0.1934,70,10,0.4219,0.1738,29,50,1,0,180,30,300,200,300,1
40,19,21,47.5,1.064,0.2747,4.5758,4.3011,0.2408,0.2048,24,16,2.2746,-1.9999,6,33,1,0,360,60,300,0,500,1
83,32,51,38.6,1.055,0.5455,10.5165,9.971,0.3286,0.1955,70,13,1.2297,-0.6842,14,64,5,0,120,60,300,200,500,1
74,25,49,33.8,1.055,0.409,7.7821,7.3731,0.3113,0.1505,54,20,0.4764,-0.0674,11,62,1,0,240,15,300,100,500,1
87,35,52,40.2,1.053,0.6425,12.8128,12.1703,0.3661,0.234,78,9,-0.1436,0.7861,17,61,9,0,120,30,300,0,500,1
76,32,44,42.1,1.053,0.3361,6.6186,6.2825,0.2068,0.1428,60,16,-0.1971,0.5332,0,72,4,0,180,60,200,0,0,1
76,32,44,42.1,1.053,0.3361,6.6186,6.2825,0.2068,0.1428,60,16,-0.1971,0.5332,0,72,4,0,180,60,200,0,1000,1
76,32,44,42.1,1.053,0.3361,6.6186,6.2825,0.2068,0.1428,60,16,-0.1971,0.5332,0,72,4,0,180,60,200,200,0,1
76,32,44,42.1,1.053,0.3361,6.6186,6.2825,0.2068,0.1428,60,16,-0.1971,0.5332,0,72,4,0,180,60,200,200,1000,1
68,30,38,44.1,1.053,0.4483,8.9254,8.4771,0.2975,0.2231,48,20,0.2846,0.1637,11,54,3,0,240,30,300,0,500,1
82,31,51,37.8,1.046,0.4868,11.129,10.6422,0.359,0.2087,74,8,1.4338,-0.947,14,61,7,0,180,5,300,0,500,1
76,38,38,50.0,1.037,0.145,4.1062,3.9612,0.1081,0.1042,61,15,-0.077,0.222,3,73,0,0,180,60,100,0,300,1
76,38,38,50.0,1.037,0.145,4.1062,3.9612,0.1081,0.1042,61,15,-0.077,0.222,3,73,0,0,180,60,100,200,300,1
74,34,40,45.9,1.036,0.3173,9.1398,8.8225,0.2688,0.2206,54,20,0.1868,0.1305,0,68,5,1,240,15,300,0,0,1
74,34,40,45.9,1.036,0.3173,9.1398,8.8225,0.2688,0.2206,54,20,0.1868,0.1305,0,68,5,1,240,15,300,0,1000,1
64,21,43,32.8,1.036,0.2283,6.5502,6.3219,0.3119,0.147,42,22,1.2746,-1.0463,20,44,0,0,240,60,300,100,300,1
76,38,38,50.0,1.035,0.14,4.1012,3.9612,0.1079,0.1042,61,15,-0.077,0.217,3,73,0,0,180,60,100,100,300,1
64,21,43,32.8,1.031,0.1989,6.5208,6.3219,0.3105,0.147,42,22,1.4937,-1.2948,9,55,0,0,240,60,300,100,500,1
40,17,23,42.5,1.028,0.1106,4.0711,3.9605,0.2395,0.1722,24,16,2.1142,-2.0036,5,34,1,0,360,60,300,200,500,1
77,26,51,33.8,1.016,0.1175,7.6616,7.5441,0.2947,0.1479,58,19,0.0374,0.0801,23,54,0,0,240,5,300,100,300,1
82,29,53,35.4,1.015,0.1546,10.41,10.2554,0.359,0.1935,74,8,1.1016,-0.947,13,62,7,0,180,5,300,200,500,1
68,29,39,42.6,1.014,0.114,8.3182,8.2042,0.2868,0.2104,48,20,0.1098,0.0042,0,62,6,0,240,30,300,200,0,1
68,29,39,42.6,1.014,0.114,8.3182,8.2042,0.2868,0.2104,48,20,0.1098,0.0042,0,62,6,0,240,30,300,200,1000,1
87,33,54,37.9,1.007,0.0798,12.0188,11.939,0.3642,0.2211,78,9,-0.7245,0.8043,16,63,8,0,120,30,300,200,500,1
77,34,43,44.2,1.002,0.0159,9.312,9.2961,0.2739,0.2162,58,19,0.3701,-0.3542,0,71,6,0,240,5,300,0,0,1
77,34,43,44.2,1.002,0.0159,9.312,9.2961,0.2739,0.2162,58,19,0.3701,-0.3542,0,71,6,0,240,5,300,0,1000,1
76,28,48,36.8,0.999,-0.0071,5.6916,5.6987,0.2033,0.1187,60,16,-0.6879,0.6808,0,72,4,0,180,60,200,100,0,1
76,28,48,36.8,0.999,-0.0071,5.6916,5.6987,0.2033,0.1187,60,16,-0.6879,0.6808,0,72,4,0,180,60,200,100,1000,1
60,18,42,30.0,0.992,-0.0503,5.8869,5.9372,0.3271,0.1414,40,20,1.4879,-1.5382,0,57,3,0,360,5,300,100,0,1
60,18,42,30.0,0.992,-0.0503,5.8869,5.9372,0.3271,0.1414,40,20,1.4879,-1.5382,0,57,3,0,360,5,300,100,1000,1
87,35,52,40.2,0.987,-0.151,11.7928,11.9438,0.3369,0.2297,78,9,-1.1291,0.9781,0,71,16,0,120,30,300,0,0,1
87,35,52,40.2,0.987,-0.151,11.7928,11.9438,0.3369,0.2297,78,9,-1.1291,0.9781,0,71,16,0,120,30,300,0,1000,1
68,30,38,44.1,0.982,-0.1552,8.3219,8.4771,0.2774,0.2231,48,20,-0.1119,-0.0433,0,62,6,0,240,30,300,0,0,1
68,30,38,44.1,0.982,-0.1552,8.3219,8.4771,0.2774,0.2231,48,20,-0.1119,-0.0433,0,62,6,0,240,30,300,0,1000,1
83,30,53,36.1,0.975,-0.2108,8.2897,8.5005,0.2763,0.1604,70,13,-0.3794,0.1686,8,72,3,0,120,60,200,0,500,1
83,30,53,36.1,0.975,-0.2108,8.2897,8.5005,0.2763,0.1604,70,13,-0.3794,0.1686,8,72,3,0,120,60,200,200,500,1
77,32,45,41.6,0.967,-0.2923,8.5825,8.8748,0.2682,0.1972,58,19,0.0144,-0.3067,0,72,5,0,240,5,300,200,0,1
77,32,45,41.6,0.967,-0.2923,8.5825,8.8748,0.2682,0.1972,58,19,0.0144,-0.3067,0,72,5,0,240,5,300,200,1000,1
76,38,38,50.0,0.962,-0.1504,3.7992,3.9496,0.1,0.1039,60,16,-0.4556,0.3052,0,76,0,0,180,60,100,0,0,1
76,38,38,50.0,0.962,-0.1504,3.7992,3.9496,0.1,0.1039,60,16,-0.4556,0.3052,0,76,0,0,180,60,100,0,500,1
76,38,38,50.0,0.962,-0.1504,3.7992,3.9496,0.1,0.1039,60,16,-0.4556,0.3052,0,76,0,0,180,60,100,0,1000,1
76,38,38,50.0,0.962,-0.1504,3.7992,3.9496,0.1,0.1039,60,16,-0.4556,0.3052,0,76,0,0,180,60,100,200,0,1
76,38,38,50.0,0.962,-0.1504,3.7992,3.9496,0.1,0.1039,60,16,-0.4556,0.3052,0,76,0,0,180,60,100,200,500,1
76,38,38,50.0,0.962,-0.1504,3.7992,3.9496,0.1,0.1039,60,16,-0.4556,0.3052,0,76,0,0,180,60,100,200,1000,1
61,30,31,49.2,0.962,-0.2176,5.5822,5.7998,0.1861,0.1871,37,24,0.282,-0.4996,16,45,0,0,360,15,200,0,300,1
61,30,31,49.2,0.962,-0.2176,5.5822,5.7998,0.1861,0.1871,37,24,0.282,-0.4996,16,45,0,0,360,15,200,200,300,1
76,38,38,50.0,0.961,-0.1554,3.7942,3.9496,0.0998,0.1039,60,16,-0.4556,0.3002,0,76,0,0,180,60,100,100,0,1
76,38,38,50.0,0.961,-0.1554,3.7942,3.9496,0.0998,0.1039,60,16,-0.4556,0.3002,0,76,0,0,180,60,100,100,500,1
76,38,38,50.0,0.961,-0.1554,3.7942,3.9496,0.0998,0.1039,60,16,-0.4556,0.3002,0,76,0,0,180,60,100,100,1000,1
41,13,28,31.7,0.959,-0.1604,3.7133,3.8737,0.2856,0.1383,25,16,1.8235,-1.9839,11,30,0,0,360,60,300,100,300,1
77,25,52,32.5,0.956,-0.3463,7.5899,7.9362,0.3036,0.1526,58,19,0.3637,-0.71,10,66,1,0,240,5,300,100,500,1
61,18,43,29.5,0.953,-0.2729,5.5294,5.8023,0.3072,0.1349,40,21,0.8452,-1.1181,17,44,0,0,360,5,300,100,300,1
41,20,21,48.8,0.952,-0.1906,3.7797,3.9703,0.189,0.1891,25,16,0.7063,-0.8969,10,31,0,0,360,60,200,0,300,1
41,20,21,48.8,0.952,-0.1906,3.7797,3.9703,0.189,0.1891,25,16,0.7063,-0.8969,10,31,0,0,360,60,200,200,300,1
83,34,49,41.0,0.948,-0.5308,9.6951,10.2259,0.2852,0.2087,70,13,0.2431,-0.7739,0,72,11,0,120,60,300,0,0,1
83,34,49,41.0,0.948,-0.5308,9.6951,10.2259,0.2852,0.2087,70,13,0.2431,-0.7739,0,72,11,0,120,60,300,0,1000,1
80,32,48,40.0,0.946,-0.5472,9.5947,10.1419,0.2998,0.2113,73,7,0.5421,-1.0893,29,50,1,0,180,15,300,0,300,1
60,18,42,30.0,0.937,-0.3713,5.5659,5.9372,0.3092,0.1414,40,20,1.0749,-1.4462,8,51,1,0,360,5,300,100,500,1
87,33,54,37.9,0.935,-0.7627,10.9498,11.7125,0.3318,0.2169,78,9,-1.759,0.9963,0,72,15,0,120,30,300,200,0,1
87,33,54,37.9,0.935,-0.7627,10.9498,11.7125,0.3318,0.2169,78,9,-1.759,0.9963,0,72,15,0,120,30,300,200,1000,1
88,31,57,35.2,0.934,-0.7989,11.2166,12.0155,0.3618,0.2108,79,9,-0.9398,0.1409,17,64,6,1,120,15,300,0,500,1
79,32,47,40.5,0.931,-0.5322,7.1847,7.7169,0.2245,0.1642,69,10,-0.2312,-0.301,7,68,4,0,180,30,200,0,500,1
79,32,47,40.5,0.931,-0.5322,7.1847,7.7169,0.2245,0.1642,69,10,-0.2312,-0.301,7,68,4,0,180,30,200,200,500,1
79,32,47,40.5,0.931,-0.6715,9.0548,9.7263,0.283,0.2069,69,10,-1.0145,0.343,0,67,12,0,180,30,300,200,0,1
79,32,47,40.5,0.931,-0.6715,9.0548,9.7263,0.283,0.2069,69,10,-1.0145,0.343,0,67,12,0,180,30,300,200,1000,1
60,30,30,50.0,0.931,-0.3901,5.2262,5.6163,0.1742,0.1872,37,23,0.199,-0.5891,4,55,1,0,360,15,200,0,500,1
60,30,30,50.0,0.931,-0.3901,5.2262,5.6163,0.1742,0.1872,37,23,0.199,-0.5891,4,55,1,0,360,15,200,200,500,1
80,30,50,37.5,0.919,-0.7915,8.9533,9.7448,0.2984,0.1949,73,7,0.2558,-1.0473,27,52,1,0,180,15,300,200,300,1
77,29,48,37.7,0.915,-0.6836,7.3718,8.0554,0.2542,0.1678,58,19,0.0871,-0.7707,9,68,0,0,240,5,200,0,500,1
77,29,48,37.7,0.915,-0.6836,7.3718,8.0554,0.2542,0.1678,58,19,0.0871,-0.7707,9,68,0,0,240,5,200,200,500,1
79,33,46,41.8,0.914,-0.8611,9.1945,10.0556,0.2786,0.2186,69,10,-1.2041,0.343,0,67,12,0,180,30,300,0,0,1
79,33,46,41.8,0.914,-0.8611,9.1945,10.0556,0.2786,0.2186,69,10,-1.2041,0.343,0,67,12,0,180,30,300,0,1000,1
60,26,34,43.3,0.913,-0.4745,4.9736,5.4481,0.1913,0.1602,37,23,0.3389,-0.8134,4,55,1,0,360,15,200,100,500,1
90,35,55,38.9,0.904,-1.1276,10.6409,11.7685,0.304,0.214,87,3,-1.3467,0.2191,31,57,2,0,60,30,300,200,300,1
83,32,51,38.6,0.902,-0.981,8.99,9.971,0.2809,0.1955,70,13,-0.2968,-0.6842,0,74,9,0,120,60,300,200,0,1
83,32,51,38.6,0.902,-0.981,8.99,9.971,0.2809,0.1955,70,13,-0.2968,-0.6842,0,74,9,0,120,60,300,200,1000,1
82,32,50,39.0,0.901,-1.0352,9.3974,10.4326,0.2937,0.2087,74,8,-0.1212,-0.914,28,53,1,0,180,5,300,0,300,1
52,16,36,30.8,0.9,-0.5047,4.5345,5.0392,0.2834,0.14,29,23,0.2783,-0.783,14,38,0,0,360,30,300,100,300,1
79,23,56,29.1,0.897,-0.78,6.7787,7.5587,0.2947,0.135,69,10,-1.0159,0.2359,20,58,1,0,180,30,300,100,300,1
87,31,56,35.6,0.895,-1.0013,8.4929,9.4942,0.274,0.1695,78,9,-1.8629,0.8616,8,75,4,0,120,30,200,0,500,1
87,31,56,35.6,0.895,-1.0013,8.4929,9.4942,0.274,0.1695,78,9,-1.8629,0.8616,8,75,4,0,120,30,200,200,500,1
83,33,50,39.8,0.894,-1.1056,9.3733,10.4789,0.284,0.2096,70,13,-0.3762,-0.7294,27,55,1,0,120,60,300,0,300,1
51,15,36,29.4,0.891,-0.5405,4.4242,4.9647,0.2949,0.1379,29,22,0.9948,-1.5353,0,48,3,0,360,30,300,100,0,1
51,15,36,29.4,0.891,-0.5405,4.4242,4.9647,0.2949,0.1379,29,22,0.9948,-1.5353,0,48,3,0,360,30,300,100,1000,1
68,21,47,30.9,0.889,-0.7705,6.172,6.9425,0.2939,0.1477,48,20,-0.252,-0.5185,19,49,0,0,240,30,300,100,300,1
90,34,56,37.8,0.888,-1.3522,10.6701,12.0223,0.3138,0.2147,87,3,-1.6043,0.2521,8,66,16,0,60,30,300,200,500,1
74,25,49,33.8,0.888,-0.8265,6.5466,7.3731,0.2619,0.1505,54,20,-0.4936,-0.3329,0,71,2,1,240,15,300,100,0,1
74,25,49,33.8,0.888,-0.8265,6.5466,7.3731,0.2619,0.1505,54,20,-0.4936,-0.3329,0,71,2,1,240,15,300,100,1000,1
88,28,60,31.8,0.882,-1.3727,10.2968,11.6695,0.3677,0.1945,79,9,-1.5318,0.1591,16,66,5,1,120,15,300,200,500,1
80,20,60,25.0,0.88,-1.0021,7.3374,8.3395,0.3669,0.139,72,8,0.1227,-1.1248,9,66,5,0,180,15,300,100,500,1
79,21,58,26.6,0.878,-0.9691,6.9681,7.9372,0.3318,0.1368,69,10,-1.251,0.2819,8,65,6,0,180,30,300,100,500,1
82,31,51,37.8,0.876,-1.3192,9.323,10.6422,0.3007,0.2087,73,9,-0.5139,-0.8053,0,71,11,0,180,5,300,0,0,1
82,31,51,37.8,0.876,-1.3192,9.323,10.6422,0.3007,0.2087,73,9,-0.5139,-0.8053,0,71,11,0,180,5,300,0,1000,1
64,21,43,32.8,0.876,-0.7846,5.5373,6.3219,0.2637,0.147,42,22,1.0267,-1.8113,0,63,1,0,240,60,300,100,0,1
64,21,43,32.8,0.876,-0.7846,5.5373,6.3219,0.2637,0.147,42,22,1.0267,-1.8113,0,63,1,0,240,60,300,100,1000,1
61,26,35,42.6,0.876,-0.7025,4.9731,5.6756,0.1913,0.1622,37,24,0.4219,-1.1244,14,47,0,0,360,15,200,100,300,1
82,30,52,36.6,0.875,-1.2604,8.7854,10.0458,0.2928,0.1932,74,8,-0.3464,-0.914,26,55,1,0,180,5,300,200,300,1
68,25,43,36.8,0.872,-0.8612,5.871,6.7322,0.2348,0.1566,48,20,0.7021,-1.5633,6,60,2,0,240,30,200,0,500,1
68,25,43,36.8,0.872,-0.8612,5.871,6.7322,0.2348,0.1566,48,20,0.7021,-1.5633,6,60,2,0,240,30,200,200,500,1
90,35,55,38.9,0.871,-1.5718,10.6409,12.2127,0.304,0.222,87,3,-1.7909,0.2191,31,57,2,0,60,30,300,0,300,1
80,30,50,37.5,0.868,-1.3338,8.8011,10.1349,0.2934,0.2027,72,8,-0.0382,-1.2956,0,68,11,1,180,15,300,200,0,1
80,30,50,37.5,0.868,-1.3338,8.8011,10.1349,0.2934,0.2027,72,8,-0.0382,-1.2956,0,68,11,1,180,15,300,200,1000,1
88,32,56,36.4,0.865,-1.5864,10.1373,11.7237,0.3168,0.2094,79,9,-1.9193,0.3329,0,73,13,2,120,15,300,0,0,1
88,32,56,36.4,0.865,-1.5864,10.1373,11.7237,0.3168,0.2094,79,9,-1.9193,0.3329,0,73,13,2,120,15,300,0,1000,1
79,32,47,40.5,0.86,-1.0767,6.6402,7.7169,0.2075,0.1642,69,10,-0.7757,-0.301,0,75,4,0,180,30,200,0,0,1
79,32,47,40.5,0.86,-1.0767,6.6402,7.7169,0.2075,0.1642,69,10,-0.7757,-0.301,0,75,4,0,180,30,200,0,1000,1
79,32,47,40.5,0.86,-1.0767,6.6402,7.7169,0.2075,0.1642,69,10,-0.7757,-0.301,0,75,4,0,180,30,200,200,0,1
